city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
1490256,Talnakh,RU,69.49,88.4,10/26/20,            -0.4,84,90,2.62
2014833,Tura,RU,64.28,100.25,10/26/20,            -7.96,91,82,5.08
3168627,Salsomaggiore Terme,IT,44.81,9.98,10/26/20,            55.67,99,97,3.33
3471451,Arraial do Cabo,BR,-22.97,-42.03,10/26/20,            71.6,94,40,2.24
4696788,Hays,US,30.05,-98.03,10/26/20,            45.9,89,92,10
3374210,São Filipe,CV,14.9,-24.5,10/26/20,            80.17,78,100,9.6
2377457,Nouadhibou,MR,20.93,-17.03,10/26/20,            75.2,64,0,18.34
3984997,San Quintín,MX,30.48,-115.95,10/26/20,            68.7,43,12,9.6
3449749,Santa Vitória,BR,-18.84,-50.12,10/26/20,            72.93,81,96,7.7
1788852,Xining,CN,36.62,101.77,10/26/20,            33.1,92,100,2.35
3451399,Ribas do Rio Pardo,BR,-20.44,-53.76,10/26/20,            71.76,90,100,3.47
931755,Blantyre,MW,-15.79,35.01,10/26/20,            69.28,67,95,4.38
2090021,Namatanai,PG,-3.67,152.43,10/26/20,            85.1,63,42,5.35
3985168,San Patricio,MX,19.22,-104.7,10/26/20,            86,74,20,17.22
1512019,Aksarka,RU,66.56,67.8,10/26/20,            3.13,94,56,6.02
3141332,Røros,NO,62.57,11.38,10/26/20,            39.2,80,51,8.05
1862505,Hirara,JP,24.8,125.28,10/26/20,            77,73,40,12.75
